书名,价格,简介,出版信息
 呐喊/丰子恺插图本（出版百年纪念版）,¥33.10,,鲁迅著 丰子恺绘 /2023-08-01  /人民文学出版社
 呐喊（中小学课外阅读）,¥13.00,★世界十大文豪之一鲁迅代表作，中国现代白话小说的开山之作，中国新文学的奠基之作，中国小说现代化的卓越开端。 ★被《亚洲周刊》评为 二十世纪中文小说一百强 之首。 ★描写 病态社会的不幸的人们 ，深入剖析国民劣根性， 揭出病苦，引起疗救的注意 ，铁屋子中发出呐喊，用笔尖触摸人性深处的沸腾与冰凉，为新文化运动 呐喊 ，引领中华民族新文化的方向。 ★鲁迅小说艺术的代表，小说集人物创作手法、艺术表现手法和作品结构样式多样化，以 直面惨淡的人生，正视淋漓的鲜血 的现实主义精神，深入地描写了社会的一切丑恶、罪恶和病根。风格独特，喜剧与悲剧相交织，层次丰厚，令人回味无穷。,鲁迅 著，栗子文化出品，有容书邦 发行 /2017-05-01  /江苏凤凰文艺出版社
 呐喊・彷徨,¥14.80,《呐喊》《彷徨》，是中国现代小说的开山之作，也是扛鼎之作。 茅盾、郑振铎等名家诚意推荐。 阅读它们，我们可以体会到鲁迅所在的时代人们生命悲剧的相似和对新生的热切希望。,鲁迅 /2018-11-01  /四川人民出版社
 呐喊（精装版）鲁迅小说集，原汁原味无删节版。,¥19.50,◆《呐喊》为鲁迅先生的经典小说集，收录《狂人日记》《孔乙己》《药》《故乡》《阿Q正传》《社戏》等小说十多篇，初版诞生九十多年来影响深远。 ◆阅读它们，我们可以体会到鲁迅所在的时代人们生命悲剧的相似和对新生的热切希望。 ◆版本完善可信赖，校勘精良，注释详尽确当。 ◆为帮助读者作拓展阅读，又附录了《彷徨》中的名作若干篇。 ◆装帧精美，版面设计大气，具有收藏价值。,鲁迅 /2021-08-01  /应急管理出版社
 呐喊 鲁迅 人民文学出版社原著足本无删减完整版鲁迅经典散文集小说全集作品精选当当自营同款初高中版当当自营同款年级书目五六,¥11.70,,鲁迅 /2022-11-05  /人民文学出版社
 呐喊,¥18.20,本书为鲁迅先生的经典之作 《呐喊》。作者用多样的人物创作手法和艺术表现手法描写了辛亥革命背景下的农村生活和风貌，描写了苦苦挣扎的知识分子的命运，揭露了封建制度的 吃人 本质，深入剖析当时国民的劣根性，喊出了新文化运动反封建的*强音，对中国封建文化传统进行了*深刻的批判。《呐喊》把西方小说艺术与中国传统小说艺术融合起来创造了现代中国短篇小说的民族新形式。小说塑造的人物典型化，在悲剧中融入黑色幽默，极具讽刺和批判意味，语言精炼、含蓄，描写传神而朴素，极具艺术表现力和感染力。书中饱含对人性的揭露和对封建社会的剖析，是一部极具教育意义的经典之作，是发人深省的批判之作。,鲁迅 /2021-05-01  /应急管理出版社
 呐喊(鲁迅短篇小说集),¥14.72,,鲁迅 /2016-01-01  /天津人民
 朝花夕拾・呐喊 金波、张抗抗推荐 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）七年级,¥8.70,本书收录了鲁迅的《朝花夕拾》和《呐喊》两部集子，我们精选了一些名篇进行点评。 《朝花夕拾》是一本散文集。作者说： 这些文章都是从记忆中抄出来的回忆文。 *初以《旧事重提》为总题，陆续发表于《莽原》半月刊。1927 年结集时改为《朝花夕拾》。《朝花夕拾》共收入10 篇作品。包括：对猫的厌恶和仇恨的《狗 猫 鼠》；怀念长妈妈的《阿长与 山海经 》；批判封建孝道观念的《二十四孝图》；表现封建家长制阴影的《五猖会》；描绘传说中的勾魂使者的《无常》；揭露庸医误人的《父亲的病》；描写一个心术不正，令人憎恶的衍太太形象的《琐记》；回忆*使鲁迅感激的日本老师的《藤野先生》；思念潦倒一生的同乡好友的《范爱农》。《朝花夕拾》将往事的回忆与现实的生活紧密地结合起来，充分显示了作者关注人生、关注社会变革的巨大热情和期,鲁迅 著 /2016-10-01  /天地出版社
 朝花夕拾呐喊,¥13.44,,鲁迅 /2018-07-01  /江苏科技
 呐喊 鲁迅 人民文学出版社 同似评析鲁迅全集原著散文杂文小说精选初高中生四五六七八九年级课外书鲁迅文集文学书FN,¥9.90,,鲁迅  /辽海出版社
 朝花夕拾呐喊鲁迅原著正版学生无障碍阅读百年百部世界经典文学丛书六年级七年级课外书hc2人民文学教育读本推荐出版社,¥9.80,,鲁迅 /2022-05-05  /吉林文史出版社
 呐喊 彷徨 中国文学大师经典文库中小学生课外阅读书籍故事书名著,¥10.60,,鲁迅 /2019-09-01  /天地出版社
 呐喊（特别附赠《呐喊》考点详解手册！每个少年都需要《呐喊》，永远保持清醒和独立！）（读客经典文库）,¥14.90,◆ 中国现代文学的典范！ ◆ 每个少年都需要《呐喊》，永远保持清醒和独立！ ◆《呐喊》《彷徨》在《亚洲周刊》评选的20世纪百大中文小说中均上榜， 其中《呐喊》排行首位，《彷徨》排名第十二。 ◆1985年，日本出版的50卷本《世界zui高杰作》，中国仅有 《呐喊》 与《论语》被收入。 ◆在中国文学史上，现代文学的奠基人鲁迅用《呐喊》戳中社会痛处，揭露了旧中国的一切不合理，唤醒了一代又一代国人，成为中国 现代白话小说的开山之作 ！ ◆在中国新文坛上，鲁迅君常常是 创造 新形式 的先锋 ；《呐喊》里的十多篇小说几乎一篇有一篇新形式，而这些新形式又莫不给青年作者以极大的影响，必然有多数人跟上去试验。 茅盾（现代著名作家）,鲁迅 /2020-01-07  /江苏凤凰文艺出版社
