date,city,country,weather,max_temperature,min_temperature,Wind,Wind_level
2023/12/31,孪井滩,中国,晴,1.0,-11.0,西风,微风
2023/12/31,淮南,中国,晴,9.0,-2.0,东北风,微风
2023/12/31,安顺,中国,多云,13.0,9.0,南风,微风
2023/12/31,台南,中国,多云,27.0,14.0,无持续风向,微风
2023/12/31,扎鲁特旗,中国,晴,-6.0,-14.0,北风,3~4级
2023/12/31,天门,中国,晴,14.0,2.0,无持续风向,微风
2023/12/31,安陆,中国,晴,12.0,1.0,无持续风向,微风
2023/12/31,藁城,中国,晴,5.0,-5.0,南风,微风
2023/12/31,兰西,中国,晴,-15.0,-22.0,北风,微风
2023/12/31,永济,中国,晴,8.0,-1.0,东风,3~4级
2023/12/31,牡丹江,中国,晴,-10.0,-23.0,东北风,3~4级
2023/12/31,吴川,中国,阵雨,25.0,16.0,无持续风向,微风
2023/12/31,新乐,中国,晴,3.0,-9.0,南风,微风
2023/12/31,察哈尔右翼后旗,中国,晴,-4.0,-17.0,西南风,3~4级
2023/12/31,淄川,中国,晴,3.0,-7.0,无持续风向,微风
2023/12/31,南丹,中国,小雨,18.0,11.0,东南风,微风
2023/12/31,万安,中国,晴,20.0,8.0,西南风,微风
2023/12/31,大庆,中国,晴,-13.0,-19.0,北风,微风
2023/12/31,交城,中国,晴,3.0,-7.0,东南风,微风
2023/12/31,白云鄂博,中国,晴,-5.0,-15.0,西南风,3~4级
2023/12/31,襄汾,中国,晴,7.0,-3.0,东北风,微风
2023/12/31,当雄,中国,多云,-2.0,-14.0,东风,5~6级
