Top,Name,Processor,CPU,GPU,MEM,UX,Score
81,realme GT,S-888 12/256,245216 分,302092 分,174760 分,207223 分,929290 分
82,Redmi K40 Pro+,S-888 12/256,246306 分,290503 分,163305 分,216247 分,916361 分
83,Redmi K40 Pro,S-888 8/256,247604 分,291799 分,161131 分,212786 分,913318 分
84,小米MIX 4,S-888+ 12/256,241324 分,280193 分,172497 分,216546 分,910560 分
85,荣耀X40 GT竞速版,S-888 12/256,230562 分,283692 分,182690 分,209536 分,906480 分
86,Redmi Note12T Pro,M-8200-Ultra 12/512,261045 分,227981 分,197231 分,216548 分,902805 分
87,小米Civi 3,M-8200-Ultra 12/256,262735 分,228801 分,190847 分,214131 分,896514 分
88,Redmi K60E,M-8200 12/512,261783 分,221549 分,198609 分,213401 分,895342 分
89,一加Ace 竞速版,M-8100-Max 12/256,275938 分,214587 分,190642 分,211066 分,892232 分
90,小米11 Ultra,S-888 12/512,232538 分,268163 分,176050 分,214493 分,891244 分
91,小米11 Pro,S-888 12/256,231012 分,262140 分,171254 分,213557 分,877963 分
92,realme GT Neo 3,M-8100 12/256,268919 分,215447 分,176482 分,212361 分,873209 分
93,Redmi K50,M-8100 8/256,256017 分,203033 分,179509 分,203092 分,841650 分
94,OPPO K10 5G,M-8000-Max 8/256,266350 分,178243 分,188154 分,206567 分,839314 分
95,Redmi Note 11T Pro,M-8100 12/256,255414 分,195110 分,188227 分,199370 分,838121 分
96,小米11,S-888 12/256,217068 分,250716 分,164481 分,205174 分,837439 分
97,iQOO Neo5 SE,S-870 8/256,247824 分,214676 分,159570 分,212301 分,834371 分
98,iQOO Neo6 SE,S-870 12/256,239596 分,214722 分,179144 分,197462 分,830924 分
99,realme GT 大师探索版,S-870 12/256,245631 分,218692 分,156759 分,204813 分,825895 分
100,Redmi Note 11T Pro+,M-8100 8/256,256345 分,198596 分,166675 分,201855 分,823471 分
101,Redmi K40,S-870 12/256,237561 分,217314 分,148952 分,207407 分,811234 分
102,iQOO Neo5 活力版,S-870 8/256,241691 分,214858 分,160337 分,193111 分,809997 分
103,iQOO Neo5,S-870 8/256,240711 分,213940 分,157347 分,192851 分,804849 分
104,小米10S,S-870 12/256,235177 分,217380 分,149674 分,199138 分,801368 分
105,Redmi K40S,S-870 12/256,234179 分,217031 分,141154 分,202713 分,795075 分
106,Redmi K30S 至尊纪念版,S-865 8/128,228004 分,201366 分,141278 分,193078 分,763726 分
107,小米10,S-865 12/256,228078 分,196435 分,147767 分,191148 分,763428 分
108,小米10 Pro,S-865 8/256,229058 分,197917 分,148127 分,187932 分,763034 分
109,小米10 至尊纪念版,S-865 12/256,227590 分,196800 分,138837 分,196597 分,759824 分
110,Redmi Note 13 Pro+,M-7200-Ultra 12/512,237808 分,183393 分,160264 分,175030 分,756495 分
111,Redmi K30 Pro,S-865 8/128,235565 分,195328 分,144385 分,180415 分,755693 分
112,OPPO K11 5G,S-782G 8/256,228690 分,163884 分,153987 分,154080 分,700641 分
113,荣耀90,S-7 Gen 1 OC 16/256,222232 分,169030 分,162294 分,142463 分,696018 分
114,iQOO Z7,S-782G 8/256,223592 分,164288 分,130415 分,148558 分,666852 分
115,vivo S17,S-778G+ 12/256,210488 分,148270 分,133356 分,141363 分,633476 分
116,Redmi K20 Pro 尊享版,S-855+ 12/512,193826 分,153838 分,117727 分,137758 分,603149 分
117,小米9,S-855 8/128,194514 分,151545 分,112868 分,140210 分,599137 分
118,荣耀50,S-778G 8/256,201230 分,140394 分,125829 分,129420 分,596871 分
119,华为nova 11,S-778G 4G 8/256,196594 分,137848 分,123305 分,135390 分,593136 分
120,Redmi Note 13 Pro,S-7s Gen 2 12/256,201823 分,116569 分,125177 分,147236 分,590805 分
Top,Name,Processor,CPU,GPU,MEM,UX,Score
Top,Name,Processor,CPU,GPU,MEM,UX,Score
1,红魔9 Pro+,S-8 Gen 3 16/512,474724 分,912609 分,428089 分,373209 分,2188631 分
2,vivo X100,M-9300 16/1024,511119 分,903499 分,438312 分,331223 分,2184153 分
3,iQOO 12,S-8 Gen 3 16/1024,470166 分,911934 分,454635 分,337749 分,2174484 分
4,iQOO 12 Pro,S-8 Gen 3 16/1024,457857 分,887583 分,457595 分,337969 分,2141004 分
5,vivo X100 Pro,M-9300 16/1024,499413 分,858272 分,430517 分,321680 分,2109880 分
6,小米14 Pro,S-8 Gen 3 16/512,435846 分,834266 分,419019 分,317731 分,2006861 分
7,小米14,S-8 Gen 3 16/512,441386 分,824976 分,420311 分,317590 分,2004263 分
8,iQOO 11S,S-8 Gen 2 16/512,414573 分,603382 分,349361 分,280440 分,1647756 分
9,一加Ace 2 Pro,S-8 Gen 2 24/1024,403365 分,603531 分,335888 分,299634 分,1642418 分
10,vivo X90 Pro+,S-8 Gen 2 12/512,416354 分,598442 分,329654 分,285087 分,1629535 分
11,realme GT5,S-8 Gen 2 16/512,407107 分,588996 分,320563 分,295404 分,1612069 分
