职位名称,薪资,工作经验,学历要求,工作地点,公司名称
安全合规工程师,11-22K·14薪,经验不限,本科,成都·武侯区·桂溪,凯翼汽车
算法工程师,20-40K,3-5年,本科,成都·双流区·兴隆街道,启明星辰
销售经理（军口）,15-30K,3-5年,本科,成都·武侯区·石羊场,青藤云安全
等保测评工程师,5-10K·14薪,1-3年,本科,成都·武侯区·新会展中心,创信华通
等保测评工程师(成都 高薪）,8-13K·13薪,经验不限,本科,成都·武侯区·孵化园,卓识网安
C++开发-数据库内核开发（职级不限，双休）,25-45K·13薪,经验不限,本科,成都·锦江区·汪家拐,北京海量数据
剪辑,7-12K,3-5年,大专,成都·双流区·华阳,昱澄信息
GR（政府关系）,10-15K,5-10年,本科,成都·金牛区·金泉,融品推网络科技
渗透测试工程师/黑灰产渗透打击-可兼职,25-50K·14薪,经验不限,学历不限,成都·武侯区·中和,鲜讯科技
售前技术支持工程师,8-12K·13薪,3-5年,本科,成都·武侯区·桂溪,宽域
川渝销售总监,15-30K,5-10年,大专,成都·锦江区·红星路,深圳安巽科技有限公司
咨询总监,7-12K,5-10年,本科,成都·武侯区·簇桥,洛众科技
售前技术支持,4-9K,5-10年,大专,成都·武侯区·新会展中心,睿立
高级系统安全工程师,15-20K,1-3年,本科,成都·新都区·新都物流基地,东方人
网络工程师,5-7K,3-5年,大专,成都·郫都区·高新西,中航信虹
网络工控安全工程师,10-15K,3-5年,本科,成都·成华区·八里庄,英特讯科技
安服工程师,7-10K,1-3年,大专,成都·武侯区·桂溪,朗弘科技
运维工程师,5-10K,1-3年,本科,成都·武侯区·火车南站,天逸启云
信息科技岗,7-8K,1-3年,本科,成都·新津区·百伦百货,新津珠江村镇银行
售后工程师,6-8K·13薪,1-3年,本科,成都·武侯区·簇桥,泰和恒创
等保合规工程师,8-12K,1-3年,大专,成都·武侯区·环球中心,智安网络
逆向分析工程师,9-14K,1-3年,大专,成都·武侯区·复城国际广场,观浩
信息专员,4-6K,1-3年,大专,成都·武侯区·新会展中心,四川数字城市
渗透测试,12-24K,3-5年,学历不限,成都·武侯区·环球中心,上海玄猫科技
安全算法与网络流量分析,16-30K·13薪,经验不限,学历不限,成都·锦江区·三圣乡,极客信安(成都)
等保测评工程师,7-10K·14薪,3-5年,本科,成都·武侯区·火车南站,鼎信信息安全
安全研究实习生(J10351),200-210元/天,4天/周,6个月,成都·武侯区·桂溪,北京知道创宇
销售经理（行业销售/渠道销售）,15-25K,3-5年,本科,成都·武侯区·新会展中心,北京威努特
区域销售经理,15-20K,5-10年,本科,成都,安恒信息
资讯安全工程师,13-18K,3-5年,本科,成都·武侯区·新会展中心,乐立杯
技术服务工程师,7-12K·13薪,3-5年,大专,成都·武侯区·环球中心,博恩信息
急聘安全行业销售经理（TOB/G大客户销售）,12-20K,5-10年,本科,成都·锦江区·合江亭,华清信安科技
系统安全,11-12K,3-5年,本科,成都·成华区·新鸿路,成都链安科技
安全渗透测试工程师,120-150元/天,5天/周,3个月,成都·温江区·柳城,江西软大网空安研...
Web安全工程师,150-300元/天,5天/周,3个月,成都·武侯区·新会展中心,愚安科技
高级安全工程师,15-25K·13薪,3-5年,本科,成都·武侯区·新会展中心,探真科技
高级技术经理（python),18-25K·13薪,3-5年,本科,成都·武侯区·孵化园,亿览态势
渗透测试工程师,8-12K,经验不限,学历不限,成都·武侯区·孵化园,壹玖壹玖终端企业
高级Android安全工程师,20-40K,1-3年,本科,成都·武侯区·银泰城,广东欧珀
高级渗透测试工程师,15-22K·13薪,5-10年,大专,成都·锦江区·沙河,诺安信息
区域销售经理（成都）,6-10K,3-5年,大专,成都·双流区·华阳,天行网安
运维,5-10K,1年以内,大专,成都·青羊区·太升路,巨象科技
售前解决方案顾问,12-18K,3-5年,本科,成都·武侯区·科华北路,成都浩天
高级渗透测试工程师,8-10K,3-5年,学历不限,成都·武侯区·新会展中心,成都仟羚科技有限公司
售前或售后工程师,3-7K,经验不限,大专,成都·锦江区·琉璃场,万翔信通
信息科技风险管理岗,7-12K,1-3年,本科,成都·武侯区·火车南站,锦程消费金融
运维工程师,4-6K,1-3年,本科,成都·武侯区·伊藤,西藏电视台
售前经理,20-22K·15薪,3-5年,本科,成都·武侯区·孵化园,安华金和
信息审核员,8-12K,经验不限,学历不限,成都·锦江区·东大街,宏兴川融
售前技术工程师,8-13K,经验不限,本科,成都·青羊区·天府广场,中孚安全技术有限公司
网络工程师,3-5K,1-3年,大专,成都·武侯区·火车南站,成都卓盈
售前技术支持工程师,8-13K,3-5年,本科,成都·武侯区·新会展中心,数联铭品
信息中心,80-100元/天,4天/周,3个月,成都·温江区·柳城,海思科医药
